BX= 000 event= 1 seed= CT_L1L2 phisector= 13
00 0.000213369 0.105362 -0.666016 -1.875 000000000 001000000 000000000|001000000|000000000|001000000
BX= 000 event= 1 seed= CT_L1L2 phisector= 26
00 -0.000208318 0.221977 0.671875 -1.99219 010000001 010000000 010000000|010000000|010000000|011000000
BX= 001 event= 2 seed= CT_D1D2 phisector= 13
00 -0.00296696 0.143228 -3.88867 -3.39844 001000000 010000000 111111111|111111111|111111111|111111111
BX= 001 event= 2 seed= CT_D1D2 phisector= 26
00 0.00292151 0.253457 3.88086 -1.93359 010000000 010000000 111111111|001000000|001000000|001000000
BX= 010 event= 3 seed= CT_D1D2 phisector= 12
00 0.000270183 0.238709 -2.625 -0.351562 010000000 010000000 111111111|111111111|111111111|111111111
BX= 010 event= 3 seed= CT_D1D2 phisector= 26
00 -0.000270183 0.122832 2.60547 -1.05469 001000000 001000000 111111111|001000000|001000000|001000000
BX= 100 event= 5 seed= CT_L1L2 phisector= 10
00 -0.000813073 0.244258 -1.94727 3.57422 010000000 011000000 010000000|000000000|000000000|000000000
BX= 100 event= 5 seed= CT_L1L2 phisector= 24
00 0.000824436 0.126463 1.94727 3.63281 000000000 001000000 000000000|000000000|000000000|000000000
BX= 101 event= 6 seed= CT_L1L2 phisector= 7
00 0.000214631 0.157531 -0.0625 1.93359 001000000 010000000 001000000|001000001|001000000|001000000
BX= 101 event= 6 seed= CT_L1L2 phisector= 21
00 -0.000208318 0.0412376 0.0585938 1.69922 000000000 000000000 000000000|000000000|000000000|000000000
BX= 110 event= 7 seed= CT_L1L2 phisector= 5
00 0.000147717 0.0840754 1.73047 -3.10547 000000000 001000000 000000000|111111111|000000000|000000000
BX= 110 event= 7 seed= CT_L1L2 phisector= 18
00 -0.000126254 0.200596 -1.74023 -2.92969 010000000 010000000 010000000|010000000|010000000|010000000
BX= 111 event= 8 seed= CT_L3L4 phisector= 4
00 8.58524e-05 0.0958691 -1.13477 1.46484 000000000 001000000 000000000|001000000|000000000|111111111
BX= 111 event= 8 seed= CT_L1L2 phisector= 17
00 -8.7115e-05 0.212347 1.12695 1.11328 010000000 010000000 010000000|010000000|010000000|111111111
BX= 000 event= 9 seed= CT_D1D2 phisector= 5
00 -0.00027397 0.246332 3.67188 4.10156 010000000 010000000 111111111|010000000|010000000|010000000
BX= 000 event= 9 seed= CT_D3D4 phisector= 19
00 0.000284071 0.130052 -3.66797 4.04297 001000001 001000001 111111111|111111111|111111111|111111111
BX= 001 event= 10 seed= CT_D1D2 phisector= 13
00 -0.00183951 0.12368 -3.77344 -1.69922 001000000 001000000 111111111|111111111|111111111|111111111
BX= 001 event= 10 seed= CT_D1D2 phisector= 26
00 0.00184961 0.235949 3.75586 -0.9375 010000000 010000000 111111111|001000000|001000000|001000000
BX= 010 event= 11 seed= CT_L1L2 phisector= 13
00 -0.000983515 0.109642 2.34766 -5.56641 001000000 001000000 001000000|001000000|001000000|001000000
BX= 010 event= 11 seed= CT_D1D2 phisector= 26
00 0.000963315 0.225666 -2.33984 -4.92188 010000000 010000000 111111111|111111111|111111111|111111111
BX= 011 event= 12 seed= CT_D1D2 phisector= 10
00 0.000213369 0.0867078 -2.94531 1.11328 000000000 000000000 111111111|111111111|111111111|111111111
BX= 011 event= 12 seed= CT_D1D2 phisector= 23
00 -0.000208318 0.203603 2.92578 2.63672 010000000 010000000 111111111|010000000|010000000|010000000
BX= 100 event= 13 seed= CT_D1D2 phisector= 1
00 -0.000816861 0.0283029 -5.24023 5.27344 000000000 000000000 111111111|111111111|111111111|111111111
BX= 100 event= 13 seed= CT_D1D2 phisector= 14
00 0.00087115 0.142968 5.24219 4.51172 001000000 001000000 111111111|001000000|001000000|001000000
BX= 100 event= 13 seed= CT_D1L1 phisector= 27
00 -0.000590867 0.263234 -5.11914 2.16797 111000000 010000000 000000000|000000000|111111111|111111111
