Event 1 BX 0
HwTrack 1 Rinv: 000001110101010, t: 00010001111110, phi: 0000111010101010010, Z0: 00000111011, Q: 0, Sector: 10100, HwValid: 1, BX: 001
HwTrack 2 Rinv: 100001101111010, t: 11101101111110, phi: 0001100111110110011, Z0: 00000101010, Q: 1, Sector: 00110, HwValid: 1, BX: 001

Event 2 BX 1
HwTrack 1 Rinv: 000000000000000, t: 00000000000000, phi: 0000000000000000000, Z0: 00000000000, Q: 0, Sector: 00000, HwValid: 0, BX: 000
HwTrack 2 Rinv: 000000000000000, t: 00000000000000, phi: 0000000000000000000, Z0: 00000000000, Q: 0, Sector: 00000, HwValid: 0, BX: 000

Event 3 BX 10
HwTrack 1 Rinv: 000000011101011, t: 00000000100110, phi: 0000111100010000010, Z0: 00001110001, Q: 0, Sector: 00001, HwValid: 1, BX: 011
HwTrack 2 Rinv: 100000011101100, t: 11111111010111, phi: 0001101100011110010, Z0: 00001110001, Q: 1, Sector: 01110, HwValid: 1, BX: 011

Event 4 BX 11
HwTrack 1 Rinv: 000000010101101, t: 11110100010100, phi: 0000111110101111011, Z0: 10000010101, Q: 0, Sector: 00111, HwValid: 1, BX: 100
HwTrack 2 Rinv: 100000010110001, t: 00001011101101, phi: 0001101110100111101, Z0: 10000011100, Q: 1, Sector: 10100, HwValid: 1, BX: 100

Event 5 BX 100
HwTrack 1 Rinv: 000000100000100, t: 00000010011001, phi: 0001000101010100001, Z0: 10000110000, Q: 0, Sector: 00100, HwValid: 1, BX: 101
HwTrack 2 Rinv: 100000100000010, t: 11111101011111, phi: 0000010101010110100, Z0: 10000101001, Q: 1, Sector: 10010, HwValid: 1, BX: 101

Event 6 BX 101
HwTrack 1 Rinv: 000000100100010, t: 00001110011101, phi: 0000110010010001001, Z0: 00000001110, Q: 0, Sector: 00011, HwValid: 1, BX: 110
HwTrack 2 Rinv: 100000100011001, t: 11110001100011, phi: 0001100010010000101, Z0: 00000010101, Q: 1, Sector: 10000, HwValid: 1, BX: 110

Event 7 BX 110
HwTrack 1 Rinv: 000001001111011, t: 11110011000110, phi: 0001100111011101101, Z0: 10001101001, Q: 0, Sector: 00111, HwValid: 1, BX: 111
HwTrack 2 Rinv: 100001001101111, t: 00001100111011, phi: 0000110111011001011, Z0: 10001101000, Q: 1, Sector: 10101, HwValid: 1, BX: 111

Event 8 BX 111
HwTrack 1 Rinv: 000000000111010, t: 11111011110001, phi: 0001100101000001111, Z0: 00000011011, Q: 0, Sector: 01111, HwValid: 1, BX: 000
HwTrack 2 Rinv: 100000000110101, t: 00000100001100, phi: 0000110101001000101, Z0: 00000011010, Q: 1, Sector: 00010, HwValid: 1, BX: 000

Event 9 BX 0
HwTrack 1 Rinv: 000000000000000, t: 00000000000000, phi: 0000000000000000000, Z0: 00000000000, Q: 0, Sector: 00000, HwValid: 0, BX: 000
HwTrack 2 Rinv: 000000000000000, t: 00000000000000, phi: 0000000000000000000, Z0: 00000000000, Q: 0, Sector: 00000, HwValid: 0, BX: 000

Event 10 BX 1
HwTrack 1 Rinv: 000010001000001, t: 11110111000000, phi: 0001010011110110001, Z0: 10000100001, Q: 0, Sector: 01011, HwValid: 1, BX: 010
HwTrack 2 Rinv: 100010000110110, t: 00001000111111, phi: 0000100011011110001, Z0: 10000011111, Q: 1, Sector: 11001, HwValid: 1, BX: 010

Event 11 BX 10
