Begin processing the 1st record. Run 1, Event 2, LumiSection 1 at 24-May-2018 22:20:31.849 CEST
MuonB1 59.000000 -0.652500 2.803435 1.000000
MuonB2 57.000000 0.641625 6.043202 -1.000000
Begin processing the 2nd record. Run 1, Event 1, LumiSection 1 at 24-May-2018 22:20:31.851 CEST
MuonE1 4.500000 2.077125 5.715953 1.000000
MuonE2 4.500000 -2.088000 3.108868 -1.000000
Begin processing the 3rd record. Run 1, Event 4, LumiSection 1 at 24-May-2018 22:20:31.851 CEST
MuonE1 63.000000 1.674750 5.923211 -1.000000
MuonE2 46.000000 -1.707375 2.716169 1.000000
Begin processing the 4th record. Run 1, Event 3, LumiSection 1 at 24-May-2018 22:20:31.852 CEST
Empty1 0 0 0 0   
Empty2 0 0 0 0   
Begin processing the 5th record. Run 1, Event 5, LumiSection 1 at 24-May-2018 22:20:31.852 CEST
MuonO1 12.500000 1.315875 5.301437 1.000000
MuonO2 16.500000 -1.315875 2.421644 -1.000000
Begin processing the 6th record. Run 1, Event 9, LumiSection 1 at 24-May-2018 22:20:31.852 CEST
MuonB1 60.500000 -0.054375 1.461713 1.000000
MuonB2 54.000000 0.054375 4.701481 -1.000000
Begin processing the 7th record. Run 1, Event 6, LumiSection 1 at 24-May-2018 22:20:31.853 CEST
MuonO1 50.500000 1.315875 0.949023 1.000000
MuonO2 90.500000 -1.315875 4.134249 -1.000000
Begin processing the 8th record. Run 1, Event 8, LumiSection 1 at 24-May-2018 22:20:31.853 CEST
MuonO1 140.500000 1.000500 3.905174 -1.000000
MuonO2 140.500000 -1.000500 0.730857 1.000000
Begin processing the 9th record. Run 1, Event 10, LumiSection 1 at 24-May-2018 22:20:31.853 CEST
MuonE1 74.500000 2.022750 1.145372 -1.000000
MuonE2 74.500000 2.022750 1.167189 -1.000000
Begin processing the 10th record. Run 1, Event 12, LumiSection 1 at 24-May-2018 22:20:31.853 CEST
MuonE1 8.500000 2.001000 5.825037 1.000000
