Event 1 BX 0
SwTrack 1 pT: 9.62626, eta: 2.24638, phi: -1.75827, sector: 20, Q: 1
SwTrack 2 pT: 10.1454, eta: -2.25411, phi: 1.37651, sector: 6, Q: -1

Event 2 BX 1
SwTrack 1 pT: 0, eta: 0, phi: 0, sector: 0, Q: 0
SwTrack 2 pT: 0, eta: 0, phi: 0, sector: 0, Q: 0

Event 3 BX 10
SwTrack 1 pT: 38.4232, eta: 0.0760984, phi: 0.107274, sector: 1, Q: 1
SwTrack 2 pT: 38.2604, eta: -0.0819395, phi: -3.03379, sector: 14, Q: -1

Event 4 BX 11
SwTrack 1 pT: 52.1933, eta: -1.46183, phi: 1.50956, sector: 7, Q: 1
SwTrack 2 pT: 51.0138, eta: 1.46355, phi: -1.63232, sector: 20, Q: -1

Event 5 BX 100
SwTrack 1 pT: 34.7287, eta: 0.30016, phi: 0.82737, sector: 4, Q: 1
SwTrack 2 pT: 34.9979, eta: -0.316933, phi: -2.31413, sector: 18, Q: -1

Event 6 BX 101
SwTrack 1 pT: 31.1361, eta: 1.80727, phi: 0.548488, sector: 3, Q: 1
SwTrack 2 pT: 32.1332, eta: -1.80727, phi: -2.59312, sector: 16, Q: -1

Event 7 BX 110
SwTrack 1 pT: 14.2196, eta: -1.61409, phi: 1.60828, sector: 7, Q: 1
SwTrack 2 pT: 14.4935, eta: 1.61633, phi: -1.53347, sector: 21, Q: -1

Event 8 BX 111
SwTrack 1 pT: 155.68, eta: -0.529584, phi: -2.81912, sector: 15, Q: 1
SwTrack 2 pT: 170.367, eta: 0.524453, phi: 0.322728, sector: 2, Q: -1

Event 9 BX 0
SwTrack 1 pT: 0, eta: 0, phi: 0, sector: 0, Q: 0
SwTrack 2 pT: 0, eta: 0, phi: 0, sector: 0, Q: 0

Event 10 BX 1
SwTrack 1 pT: 8.29151, eta: -1.12566, phi: 2.49157, sector: 11, Q: 1
SwTrack 2 pT: 8.37613, eta: 1.12336, phi: -0.650933, sector: 25, Q: -1

Event 11 BX 10
SwTrack 1 pT: 29.8988, eta: 1.88079, phi: 0.471836, sector: 2, Q: 1
SwTrack 2 pT: 32.9542, eta: -1.89237, phi: -2.66951, sector: 16, Q: -1

Event 12 BX 11
SwTrack 1 pT: 58.2545, eta: 0.277668, phi: 0.379376, sector: 2, Q: 1
SwTrack 2 pT: 58.2545, eta: -0.281426, phi: -2.76233, sector: 16, Q: -1

Event 13 BX 100
SwTrack 1 pT: 120.393, eta: 0.914137, phi: -2.53434, sector: 17, Q: 1
SwTrack 2 pT: 127.175, eta: -0.912783, phi: 0.607295, sector: 3, Q: -1

Event 14 BX 101
SwTrack 1 pT: 110.115, eta: -0.1208, phi: 1.94632, sector: 9, Q: 1
SwTrack 2 pT: 108.789, eta: 0.116921, phi: -1.1957, sector: 22, Q: -1

Event 15 BX 110
